temp,pressure,proximity,r,g,b,a,accX,accY,accZ,gyroX,gyroY,gyroZ,up,down,right,left,side
29.480,100.429,255,0,0,0,0,0.0039,0.1274,0.9648,-0.9155,-1.6479,0.0610,0,0,0,1,0
29.470,100.417,251,39,25,26,76,0.0077,0.1288,0.9503,-0.1831,0.9155,0.0000,0,0,0,0,0
29.500,100.425,250,39,25,26,76,0.0010,0.1293,0.9629,-2.0142,-1.3428,-0.4883,1,0,0,0,0
29.480,100.423,251,39,25,26,76,0.0026,0.1285,0.9614,-2.3193,-1.0376,0.5493,1,0,0,0,0
29.510,100.431,250,39,25,26,76,0.0049,0.1272,0.9600,-2.5024,-0.2441,-1.0376,1,0,0,0,0
29.520,100.382,251,39,25,26,76,0.0002,0.1385,0.9624,-2.6245,1.3428,0.7324,0,0,0,1,0
29.500,100.426,249,38,25,26,76,0.0009,0.1340,0.9628,-1.2817,-0.8545,-1.5259,1,0,0,0,0
29.520,100.432,251,39,26,26,76,0.0052,0.1223,0.9694,0.1831,-0.0610,0.3052,0,0,1,0,0
29.520,100.428,250,39,25,26,76,0.0363,0.1266,0.9929,-8.2397,-2.1362,5.0049,0,1,0,0,0
29.510,100.423,250,39,26,26,77,0.0859,0.0922,0.9812,-24.5972,-4.0283,5.3101,0,1,0,0,0
29.530,100.424,251,40,27,27,80,0.0806,0.1512,0.8932,-12.3291,-10.8643,14.9536,0,1,0,0,0
29.500,100.373,251,41,28,28,82,-0.0389,0.2748,0.8505,13.1226,-11.2305,17.3950,0,0,0,1,0
29.510,100.426,252,40,27,27,79,-0.2380,0.2397,0.9406,-27.1606,-45.4102,8.4839,1,0,0,0,0
29.500,100.428,251,39,27,26,76,-0.0028,0.2410,0.9105,-20.3247,-70.0073,-5.9204,0,0,0,1,0
29.490,100.427,252,37,25,24,70,-0.4902,0.1472,1.0009,29.0527,-81.8481,-48.0347,1,0,0,0,0
29.490,100.426,251,33,23,22,63,-0.4216,0.0929,0.8777,96.4966,37.7808,21.6675,1,0,0,0,0
29.480,100.423,252,32,22,21,63,-0.3938,0.0585,0.8854,-10.9253,5.2490,11.2305,1,0,0,0,0
29.500,100.426,251,33,22,21,63,-0.3781,0.0702,0.9012,-19.1040,-16.2964,3.8452,1,0,0,0,0
29.480,100.366,251,34,23,22,64,-0.4102,0.1050,0.9130,-25.7568,0.5493,-0.5493,1,0,0,0,0
29.480,100.429,251,34,23,22,67,-0.3978,0.1453,0.8799,-0.4272,7.6904,3.7231,1,0,0,0,0
29.470,100.419,252,35,24,23,67,-0.3801,0.1326,0.9093,6.4087,13.0615,4.5166,1,0,0,0,0
29.470,100.426,252,35,24,23,68,-0.3484,0.1309,0.9125,-17.8223,2.6245,1.4038,1,0,0,0,0
29.500,100.436,252,36,24,24,70,-0.3347,0.1320,0.9041,-1.2817,9.9487,6.6528,1,0,0,0,0
29.500,100.428,250,36,25,24,69,-0.3223,0.1553,0.8951,-5.7373,4.9438,-1.8311,1,0,0,0,0
29.480,100.396,250,36,25,24,70,-0.3293,0.1526,0.9142,-2.3193,-3.0518,1.2817,1,0,0,0,0
29.490,100.388,252,36,25,24,71,-0.3344,0.1454,0.9229,-4.8218,0.3052,-0.9155,1,0,0,0,0
29.490,100.419,251,36,25,24,71,-0.3240,0.1539,0.9015,0.7324,0.5493,2.9907,1,0,0,0,0
