accX,accY,accZ,gyroX,gyroY,gyroZ,up,down,right,left
0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0,0,0,0
-0.1372,-0.0214,0.9669,0.4883,0.1831,0.7935,0,0,0,0
-0.1239,-0.0272,0.9625,-0.8545,-0.1221,-0.7324,0,1,0,0
-0.1223,-0.0338,0.9626,-1.0986,-0.6104,0.0610,0,1,0,0
-0.1302,-0.0262,0.9607,-1.6479,-0.8545,0.0000,0,1,0,0
-0.1345,-0.0236,0.9556,-1.5869,-0.6714,-0.1831,0,1,0,0
-0.1287,-0.0237,0.9612,-0.7935,-0.6714,0.5493,0,1,0,0
-0.1359,-0.0284,0.9689,0.6714,0.5493,0.1831,0,0,1,0
-0.1193,-0.0375,0.9685,-0.6104,-0.4272,0.4883,0,1,0,0
-0.1296,-0.0259,0.9545,-1.4648,-1.2817,0.0000,0,1,0,0
-0.1355,-0.0283,0.9622,-2.0142,-0.9155,-0.8545,0,0,1,0
-0.1273,-0.0320,0.9673,-2.0142,-1.0986,-0.9766,0,0,1,0
-0.1346,-0.0624,0.9758,-1.3428,0.0610,-0.4272,0,0,1,0
-0.1364,-0.0333,0.9731,-1.1597,0.7935,0.4883,0,0,1,0
-0.1337,-0.0238,0.9537,-1.8311,-0.1831,-0.4883,0,1,0,0
-0.1382,-0.0303,0.9655,-1.7090,-0.1831,0.1221,0,0,1,0
-0.1364,-0.0216,0.9594,-1.7090,-0.2441,-0.3662,0,1,0,0
-0.1317,-0.0278,0.9728,-0.7935,0.4883,-0.0610,0,0,1,0
-0.1304,-0.0273,0.9624,-2.1362,-0.3662,0.0000,0,1,0,0
-0.1371,-0.0244,0.9683,-1.5259,-1.0986,0.1221,0,0,1,0
-0.1260,-0.0254,0.9623,-2.6245,-0.4883,-0.4272,0,1,0,0
-0.1313,-0.0192,0.9615,-2.3804,-0.0610,0.4272,0,1,0,0
-0.1256,-0.0206,0.9611,-2.7466,-0.5493,-1.2817,0,1,0,0
-0.1265,-0.0256,0.9727,-1.5869,-0.7324,-0.6104,0,1,0,0
-0.1305,-0.0227,0.9724,-1.9531,-1.0376,0.4272,0,1,0,0
-0.1270,-0.0248,0.9778,-1.0986,-1.1597,-0.4883,0,1,0,0
-0.1322,-0.0220,0.9707,-1.5869,-0.4272,-0.2441,0,1,0,0
-0.1346,-0.0228,0.9680,-1.5869,-0.3052,0.4272,0,1,0,0
-0.1321,-0.0162,0.9564,-3.5400,-2.8687,-0.5493,0,0,0,1
-0.1400,-0.0204,0.9688,-2.0142,-1.7090,-0.9766,1,0,0,0
-0.1459,-0.0122,0.9620,-2.5024,-1.5259,0.3662,0,0,0,1
-0.1436,-0.0195,0.9749,-1.3428,-0.4272,0.0000,1,0,0,0
-0.1309,-0.0242,0.9684,-2.1973,-0.2441,0.0610,0,1,0,0
-0.1432,-0.0173,0.9695,-2.5024,-0.9155,0.5493,1,0,0,0
-0.1400,-0.0203,0.9792,-3.7231,-0.9155,-2.0142,1,0,0,0
-0.1349,-0.0115,0.9670,-3.1128,-0.3052,-0.7324,0,0,0,1
-0.1371,-0.0085,0.9681,-2.2583,0.0000,-0.3052,0,0,0,1
-0.1350,-0.0135,0.9753,-3.7842,-0.3052,-1.5259,0,0,0,1
-0.1256,-0.0200,0.9784,-3.3569,0.1831,1.2207,0,1,0,0
-0.1061,-0.0181,0.9751,-7.9956,-1.4038,3.2349,0,1,0,0
-0.0750,-0.0262,0.9983,-9.7046,3.5400,12.2070,0,1,0,0
-0.1041,0.0050,1.0150,-12.5122,-2.3804,13.3057,0,1,0,0
-0.0354,-0.0150,1.0126,-11.5967,5.1880,25.6958,0,1,0,0
-0.0117,-0.0311,1.0160,-4.3335,11.5356,35.4004,0,1,0,0
-0.0293,0.0010,0.9816,-0.4272,12.0239,51.2695,0,1,0,0
-0.0046,-0.0215,0.9636,-6.2256,5.4932,62.1338,0,1,0,0
-0.0557,-0.0198,0.9191,-12.0239,-0.7935,71.6553,0,1,0,0
-0.1182,-0.0143,0.8763,-3.0518,6.5308,91.4917,0,1,0,0
-0.2461,0.0010,0.8748,-7.4463,-9.0942,74.1577,1,0,0,0
-0.3441,0.0204,0.9344,-3.1738,-21.1182,41.4429,1,0,0,0
-0.4305,-0.0071,1.0493,6.4697,-0.1831,29.4189,1,0,0,0
-0.3237,0.0137,1.0315,-4.8828,-8.2397,-2.5635,1,0,0,0
-0.2622,0.0304,0.9967,-0.7935,6.7139,-7.2632,1,0,0,0
-0.2528,0.0299,0.9432,2.6855,-3.5400,-25.6958,1,0,0,0
-0.2709,-0.0204,0.9312,23.5596,-4.3945,-49.4385,1,0,0,0
-0.2852,-0.0491,0.9199,13.1836,14.5264,-29.1138,1,0,0,0
-0.2168,-0.0983,1.0104,6.7749,19.9585,-49.9268,1,0,0,0
-0.1556,-0.0175,0.9114,2.5635,16.2964,-56.9458,1,0,0,0
-0.0321,-0.0992,1.0001,8.4229,22.3999,-58.4717,0,1,0,0
-0.0449,-0.0909,0.9543,-2.5635,10.2539,-67.4438,0,1,0,0
-0.0419,-0.0872,0.9517,-24.5361,-25.4517,-77.2095,0,1,0,0
-0.0175,-0.0817,1.0026,5.7373,-67.1997,-86.0596,0,1,0,0
-0.0309,0.0798,1.0469,9.0942,14.5264,-17.0898,0,1,0,0
-0.0211,-0.1542,0.9592,16.9067,30.3955,-9.0942,0,0,1,0
-0.0266,-0.0634,0.8950,-0.2441,0.7935,-4.8828,0,1,0,0
-0.0414,-0.0760,1.0421,5.9204,6.0425,0.8545,0,1,0,0
-0.1113,0.0010,0.9182,-7.2632,-5.3101,2.1362,0,1,0,0
-0.0944,-0.0417,0.9791,2.3193,-0.4272,-0.1221,0,1,0,0
