,accX,accY,accZ,gyroX,gyroY,gyroZ,accPCA,gyroPCA,side,gesture
3543,2962,688,431,481,173,424,9672,7022,0,1
5731,558,1897,1480,16,30,1,1836,853,0,1
4801,2110,3457,25,475,804,1733,8064,6224,0,0
293,3818,2392,2352,364,605,1432,8176,608,0,1
5020,1494,1570,2141,748,169,981,3069,3692,0,0
1765,2172,2538,1816,784,721,423,7629,7785,0,1
2288,4395,3741,648,781,204,15,9718,3894,0,1
107,729,599,1652,215,25,546,1047,7145,0,0
5192,1241,2291,1657,0,11,24,2456,3861,0,0
6935,3159,1952,1547,282,1293,265,5379,8957,0,1
5225,190,226,1548,28,11,1003,4273,2860,0,1
2168,2024,3310,1116,780,741,23,7293,5293,0,0
6250,1421,213,1747,788,720,254,3454,6125,0,1
1408,2506,3062,572,1103,418,60,8750,4205,0,1
9071,4484,6,55,205,965,108,9981,9915,0,1
7091,358,3032,1564,7,637,1639,2763,7738,0,0
6871,72,1075,2407,1337,1050,897,5687,9962,0,0
3295,4316,3579,994,964,206,24,9425,6651,0,1
4848,333,3006,1403,789,357,986,2895,2462,0,0
7413,3299,2843,1087,841,1413,358,5751,6573,0,1
4812,976,3153,1452,650,344,1422,1124,7977,0,0
251,2822,3299,411,222,241,1016,9461,4658,0,1
7456,1448,410,113,109,1215,1686,4215,4047,0,1
80,2860,1246,838,938,211,1748,9454,8261,0,1
9035,3755,2684,1519,963,745,1303,7784,2947,0,1
8063,3273,2994,1610,8,1,11,5695,2234,0,0
4823,392,2938,1628,786,752,997,2584,80,0,0
4537,1109,2046,2332,493,1082,1274,1222,6205,0,0
304,1627,3213,1982,724,1065,1027,5195,4411,0,0
7143,2106,202,1945,792,1230,1643,7208,7824,0,1
5938,872,599,1573,213,720,255,173,3049,0,0
7488,3244,332,1710,567,86,1326,5994,6184,0,1
9032,3745,2659,1712,766,204,992,7782,300,0,1
6824,1060,255,1075,718,640,507,1202,7397,0,0
733,1535,1895,1644,957,938,25,4229,5745,0,1
6964,213,2161,1592,211,20,985,3969,1342,0,1
7225,1245,3424,1862,1308,1419,1507,2916,7415,0,0
1794,1955,2206,1786,780,220,3,6594,2898,0,1
5407,2223,1184,1670,1325,771,1587,7523,6633,0,1
7200,4084,2391,1509,794,204,416,8897,7771,0,1
3257,1777,2260,208,761,207,1200,6227,4887,0,1
510,1480,2532,1515,774,8,1532,4164,6804,0,0
960,2831,988,1334,770,45,1254,9396,4679,0,1
8089,3241,2985,1694,354,734,999,5550,3480,0,0
4442,1154,2486,1563,213,209,5,1985,28,0,0
1593,1820,2183,1675,10,0,988,5976,283,0,1
7653,656,3767,877,913,9,665,260,8675,0,0
932,3921,3740,103,1027,699,42,7882,5019,0,0
7682,3145,56,1880,765,29,17,5418,3549,0,1
4377,968,437,1662,31,20,988,416,1174,0,0
7568,95,1696,831,747,65,567,5410,7506,0,0
6754,1810,1032,1418,489,24,17,5548,264,0,0
4718,70,2113,1475,28,816,1285,4813,4994,0,1
3107,790,2138,1638,780,442,416,384,7693,0,0
7386,302,145,1796,786,727,540,3648,7978,0,1
8582,4074,2781,1708,368,28,1528,8854,7896,0,1
483,2263,2722,435,1308,706,1258,8190,4498,0,1
5707,506,355,1811,4,926,13,2434,2346,0,1
4382,844,368,1586,208,29,259,268,3777,0,1
8072,3371,2976,1604,29,25,994,6179,1786,0,1
5733,474,313,1817,8,749,1419,2633,5844,0,1
7754,3228,2292,1512,874,1296,737,5650,4175,0,1
718,2542,3759,826,860,641,589,8874,8216,0,0
7474,3306,336,1871,965,744,254,6305,6853,0,1
4252,2069,1063,855,483,981,821,6986,7798,0,1
2178,602,1021,2278,485,855,1275,2290,5017,0,0
3355,3125,2616,272,795,987,1729,9952,6841,0,1
2233,2914,111,503,211,746,991,9613,2428,0,1
5953,588,585,1537,20,521,13,1886,2585,0,1
5216,3455,78,1729,25,140,0,6872,2291,0,1
7660,3598,24,1868,754,22,1535,7438,9267,0,1
2457,2174,3249,1152,0,740,6,7821,1845,0,0
6785,1277,2320,1396,21,25,19,2819,2736,0,0
6252,1506,242,1861,359,12,1422,3920,7153,0,1
9049,4006,1261,1477,1046,1279,951,8790,9932,0,1
1713,3957,4101,199,1254,1079,958,7979,10003,0,0
1671,2072,2034,1301,203,737,986,7217,1413,0,1
5180,1042,2230,1497,1230,1155,30,1186,7131,0,0
4667,3160,4,1783,19,21,17,5463,2573,0,1
7417,105,1045,1866,23,36,736,5201,9045,0,0
259,2219,3053,1013,218,30,984,7978,1483,0,0
9632,1662,181,1539,203,6,999,5008,2703,0,1
5564,1927,142,1595,763,1165,1804,6406,9213,0,1
487,2923,854,1263,204,46,1377,9598,6359,0,1
