,accX,accY,accZ,gyroX,gyroY,gyroZ,accPCA,gyroPCA,side,gesture
416,1962,2195,2463,1303,1221,1411,6274,4158,1,1
5125,3324,2103,1636,788,749,16,6213,3854,1,1
9916,2468,2379,1270,215,16,263,8605,3799,1,1
4192,4259,1317,1567,1412,1245,1366,9388,6187,1,1
1188,2245,1009,1059,1109,447,232,7716,4982,1,1
7583,3609,1486,1828,956,721,982,7759,2645,1,0
856,892,1565,1837,92,520,1555,641,8102,1,0
5090,3202,2154,1711,359,449,14,5610,984,1,1
9785,1595,1608,1698,692,440,755,3804,8709,1,0
850,1794,1182,579,884,67,122,5629,4396,1,0
9814,1173,1092,1449,103,731,1683,1457,8728,1,0
1149,1983,2789,1394,485,24,22,6942,596,1,0
4132,3515,2956,1705,205,728,993,6862,2238,1,1
8502,2182,2473,1335,1003,133,1794,7718,6781,1,1
9869,735,1173,1870,270,524,10,1354,9285,1,0
2862,3046,276,222,10,2,17,9809,2809,1,1
4344,3385,2007,1653,217,734,7,6513,408,1,1
8324,44,2347,2051,726,267,400,5064,6440,1,1
5053,3259,2078,1687,15,743,5,5919,919,1,1
9788,1686,1550,1462,792,1416,934,4474,9804,1,0
3424,1734,2484,1536,265,452,1228,5645,6333,1,0
3055,983,2213,1538,357,217,991,806,2337,1,0
35,1037,93,1592,355,4,11,1000,147,1,0
9133,1507,1457,1445,1109,731,11,3456,5470,1,0
4584,526,3078,1433,779,28,257,1591,6701,1,0
9719,564,2978,1515,566,742,14,1417,1602,1,0
1068,2433,3540,2181,327,1070,1663,8571,8782,1,0
8897,4104,1419,1594,637,357,1022,9069,7360,1,1
2906,1194,2548,1863,866,992,1067,2175,8852,1,0
9261,1814,4046,916,778,737,13,6814,3332,1,0
3018,1475,2359,1592,206,721,1006,4045,3554,1,0
8894,1593,1743,1868,831,1321,748,3579,9971,1,0
7895,107,2120,1544,13,6,2,4604,913,1,1
2664,4445,3341,438,1373,1130,1432,9913,6862,1,1
1494,2131,2477,1479,362,739,1302,7519,7024,1,1
4162,3899,1795,2152,1295,724,776,8656,9516,1,0
39,818,147,1658,698,22,1421,344,8406,1,1
6666,662,1914,1944,31,727,138,1307,4320,1,1
9851,1273,460,1683,216,8,22,2344,1788,1,0
1111,438,359,1352,782,847,1712,2749,8687,1,1
2485,1901,2410,1389,26,21,18,6496,2356,1,1
3465,2156,3591,1059,205,724,1301,7861,6057,1,0
2360,1845,1914,1537,31,728,1296,6039,5708,1,1
3639,1487,2799,1528,563,860,1288,4293,7755,1,0
2337,1155,654,1929,565,286,437,1439,6584,1,0
388,475,936,2227,1152,534,750,3060,9398,1,0
3400,922,1604,1856,1159,1123,886,497,4943,1,0
7329,413,321,1730,214,722,269,3005,5292,1,1
2619,1563,954,1519,774,5,10,4082,3050,1,0
668,1449,992,15,737,902,1518,4489,9183,1,0
8288,3235,3028,1483,773,24,10,5454,3141,1,0
1056,1881,579,1611,491,926,1637,6057,8918,1,1
8980,1076,1768,1596,1068,1026,1847,247,9115,1,0
2045,832,2149,1039,305,727,1185,19,6307,1,0
2751,2584,3857,701,0,29,17,8995,3399,1,0
8977,3444,1333,1595,31,26,993,7169,1754,1,0
4898,183,2586,1524,24,205,6,3981,1120,1,1
4343,3363,1915,1881,789,927,984,6489,1879,1,1
6485,1020,63,1633,24,737,984,875,654,1,0
8300,111,2934,1611,28,741,1294,4306,5560,1,0
2507,1859,2054,1625,3,205,265,6146,6698,1,1
2956,991,1919,1789,1,21,420,667,7160,1,0
7334,502,109,1750,10,12,987,2341,24,1,1
1199,1584,942,171,286,334,265,4751,7754,1,0
1107,1293,2001,1417,203,684,539,2831,7643,1,0
1807,4163,3265,757,969,1008,1305,9015,4942,1,1
993,3602,2896,1049,698,1296,468,7124,6554,1,1
3522,95,674,1680,6,723,994,5048,867,1,1
7319,1677,2578,1330,1075,1148,563,5400,8198,1,0
795,1645,2003,1434,204,1,418,5037,5956,1,1
9227,1749,3990,845,13,735,1294,6502,5110,1,0
2884,449,398,2078,1478,124,39,2914,4613,1,1
9896,2392,2205,1317,561,25,13,8388,1025,1,1
4048,3805,2752,1670,8,1063,255,7967,5034,1,1
4028,3668,3023,1451,24,2,1527,7436,7178,1,1
1446,4317,2373,1696,180,545,112,9480,9687,1,1
4180,2117,2910,1132,560,747,1889,7572,9979,1,0
9776,554,2749,1793,1412,1059,1432,1633,1535,1,0
33,1100,141,1612,210,14,990,1348,1941,1,1
3790,3221,3118,1526,28,5,7,5348,775,1,0
3012,1560,2237,1664,366,741,982,4491,2272,1,1
6003,2958,1245,729,210,728,1256,9640,4839,1,1
6510,662,1035,1551,207,22,1000,1613,2844,1,0
31,1102,159,1656,21,6,981,1350,120,1,1
4641,3365,1956,1452,765,1153,270,6379,6718,1,1
29,1076,166,1606,202,27,15,1197,1791,1,1
1496,2176,2781,1208,487,14,1004,7763,5552,1,1
2926,3464,322,1600,18,520,1013,6939,2930,1,1
1253,619,2106,1568,212,14,2,1391,510,1,1
3666,590,2916,1630,24,729,1010,1309,3533,1,0
1310,1220,2010,1275,882,343,520,2314,8075,1,0
3058,740,2200,1634,28,17,984,649,533,1,0
4007,3565,3374,1464,17,27,421,6927,6984,1,0
9947,810,670,1971,992,62,777,652,9199,1,0
2483,2096,2288,1460,489,12,1421,7344,7702,1,1
3794,3169,3080,1654,21,725,264,5114,5566,1,0
764,813,613,1780,726,219,1412,555,6629,1,0
